CLID	FL1_NR	FL1.2_NR	FL10_NR	FL11b_CR	FL12_NR	FL13_NR	FL13.2_NR	FL14_NR	FL15_PR	FL16_PR	FL2_PR	FL3b_NR	FL4_CR	FL5b_CR	FL6_CR	FL6.2b_CR	FL7b_PR	FL8_PR	FL8.2_PR	FL9_NR	Spleen2	Spleen1	Tonsil2	Tonsil1
IMAGE:28218	-0.281	0.337	-0.775	0.433	-0.004	0.004	0.104	-0.069	-0.484	0.407	0.075	-1.673	-0.258	0.323	0.154	0.626	0.325	-0.124	0.484	0.214	-1.551	-2.108	-0.292	-0.115
IMAGE:342181	-0.767	-1.127	1.263	-1.127	-0.297	-1.787	-1.387	0.803	0.353	0.733	1.193	1.763	2.983	0.533	1.273	0.423	-0.547	0.353	-0.087	0.086	-0.697	-2.247	-1.467	-1.327
IMAGE:471799	0.414	0.601	-0.17	-0.501	1.044	-0.112	-0.072	0.072	-0.411	-0.458	-0.166	0.181	-0.707	0.807	-0.135	0.752	-0.2	-0.4	-0.79	0.325	1.385	0.459	1.003	0.928
IMAGE:810446	0.576	1.124	-0.04	-0.454		-0.54			0.041	0.808	-0.502	1.281	-1.029	0.564	-0.5		-0.462	-0.093	-0.84	-0.245	0.14	0.279	2.292	2.147
IMAGE:487327	-0.126	-0.012	0.442	-0.697	1.146	0.336	1.002		-0.199	-0.393	0.441	0.757	-0.684	0.213	-0.47	-0.954	-1.25	-0.342		-0.281	0.813	0.826	0.902	0.012
IMAGE:26295	-0.521	-0.321	0.738	0.558	-2.138		0.032		-0.033	-0.264	0.722	0.587	2.25	-0.261	0.897		0.278	0.037	0.184	-0.146	-1.655		-1.1	-1.69
IMAGE:814942	-0.785		0.55	0.342	0.429	-3.661	-2.371	0.005	-0.715	0.572		0.736	0.969	-0.189	0.627		-3.462	-3.384	-3.029	0.642		0.087	-4.104	-0.005
IMAGE:199228	0.935	1.237	0.157	-0.822	-1.127	-1.175		0.246		1.249	1.009	0.348	-0.674	0.585		0.918	-0.062	-0.992	-0.629	0.605	0	-0.524	-0.215	-0.037
IMAGE:209758	-0.22	-0.32	0.507	0.034	-0.464	0.645	-0.766	-0.203	0.615	-0.818	0.26	1.01	0.688	-0.035	0.068	0.881	0.449	0.404	-0.528	0.238	-1.141	-1.559	-0.57	-0.627
IMAGE:743081	0.023	0	-0.263	0.031	-0.024	-0.181	-0.089	0.457	-1.084	0.044		0.657	-0.357	0.34	-0.366	0.53	-0.019	-0.104	-1.055	0.134	0.871	1.339	0.169	-0.354
IMAGE:742132	0.47	0.001	-0.813	0.751	0		1.11		-0.871	-0.147	0.567	-0.135	-0.34	-0.184	-0.428	0.424	0.704	-0.23	-0.242	0.262	4.723	2.31	-0.447	0.501
IMAGE:51743	-1.069		0.158	0.814	-0.017	0.637			0.05	0.588	-0.445	0.696	-0.121	0.018	-0.178		-1.026	0.59	0.394	0.268	-1.069	-1.326	-0.524	-0.564
IMAGE:854874	-0.426	-0.082	-0.286	0.08	-0.241	0.335	-0.622	0.024	-0.263	0.556	-0.312	1.126	0.586	0.411	-0.296	0.439	0.089	0.012	-0.291	0.264	-1.379	-2.664	0.212	-0.012
IMAGE:814124	-0.524	-0.03		0.407	-0.003	0.406	-0.628		-0.67	-2.341	0.189	0.798	0.643	0.003	-0.154	-1.419	0.774	0.549	-0.384	-0.659	1.54	-0.31	1.602	0.439
IMAGE:767869	0.229	0.102	0.258	-0.154	-0.107	0.654	-0.021		0.597	0.296	-0.015	-1.253	0.197	-0.099	-0.12	0	0.416	0.366	0.618	0.207	-1.546	-1.92	-0.349	-0.437
IMAGE:340722	0.317	-1.111	-0.702	-0.056	0	-0.724	0.372		-0.488		1.626	0.549	0.554	-1.135	1.054	-0.698	1.307	-0.341	-0.228	0.358	0.096	-0.119	0.572	
IMAGE:272262	-0.212		0.519	-0.013	0.363	0.013	-1.261		-1.045	1.179	-0.186	0.289	0.055	-0.536	-0.057	0.592	0.079	-0.532	-0.882	0.261	0.151	2.618	-0.153	-0.519
IMAGE:897781	-0.334	0.432	0.365	-0.259	0.625	-1.153		0.18	-0.153	-0.013	-0.061	0.035	-0.018	-0.298	-0.711	-0.617	0	0.61	-0.235	0.168	0.126	0.081	2.201	1.562
IMAGE:79216	0.689	0.007	-0.35	-0.565	1.512	-0.239	0.751	0.282	-1.334	0.705	-0.145	0.665	-0.336	-1.029	-0.207	0.793	0.542	-0.083	-0.14	-0.092	1.365	-0.008	0.506	0.795
IMAGE:489384	1.098	0.158	-1.416	-0.366	3.012	-0.653	1	0.423	-0.925	-0.939	-0.264	0.551	-0.617	-1.503	-0.132	0.53	1.654	0.111	-1.816	0.894	0.154	-0.702	-0.111	0.337
IMAGE:785913	0.327	1.095	0.674	-0.149	-1.25	-0.026		-0.167	0.725	0.254	0.101	-1.737	0.796	0.589	-0.488	0	-0.013	0.589	1.154	-0.62	-1.581	-1.911	0.06	-0.017
IMAGE:121727	-0.534	0.52	0.186	-0.756	0.046	-0.764	-1.168	0.637	-0.153	0.661	1.093	0.182	0.056	1.046	0.784	1.05	-0.554	-0.056	-0.046	-0.037	-0.731	-0.686	0.037	-0.112
IMAGE:71606	0.661	-0.763		-0.182	1.757	0.081	0.584	0.878	-1.858	0.322	0	-0.412	0.428	-0.244	-1.482	-0.152	0.262	-0.682	-1.612	1.17	1.918	1.53	-0.06	-0.654
IMAGE:68818	-0.173	-0.215	0.211	-0.002	-0.2	-0.23	0.077		0.519	-0.445	-0.841	0.264	-0.902	0.268	0	0.408	0.292	-1.398	-1.489	-0.283	1.031	1.835	0.232	0.192
IMAGE:428721	-0.154	-0.217	-0.278	-1.326	0	0.059			-1.31	0.236	-0.112	-0.144	-0.302	1.074	-0.255		-0.26	0.337	1.169	0.226	1.534	0.872	2.981	1.259
IMAGE:296123	0.057	-0.498	-0.411	0.375	0.388	-0.164	0.85	1.084	0.784	-1.513	0.985	-0.799	0.219	-0.022	-0.195	-0.303	-1.193	-0.466	0.305	0.022	0.84	0.473	-0.324	-0.283
IMAGE:44253			0.17	0.629		0.05	0.017	0.246	1.17	-1.346	0.477	-0.397	-0.162	-0.768	-0.371	-0.183	-0.018	0.27		0.377	-0.111	-0.359	1.037	-0.115
IMAGE:320764	-0.053	-0.043	-0.225	0.004			0.487		-1.281	-0.355	-0.278	1.616	-0.053	-0.42	0.355	0.37	1.396	-0.005		0.885	2.436	2.252	-0.073	0.411
IMAGE:714106	-0.39	-0.22	-0.84	-0.2	0.8	0.27	-0.33	0.11	-1.343	-0.08		1.07	-1.05	-0.07	-0.38	0.33	0.01	-0.105	0.72	0.5	0.58	0.55	0.14	0
IMAGE:563634	-0.169	0.167	-0.03	0.267	-0.715	0.331	0.422	-0.505	0.513	0.02	-1.094	0.341	-0.333	0.883	-0.103	0.318	-0.251	0.249	-0.458	0.245	-1.323	-2.234	0.316	-0.02
IMAGE:298231	-0.135	-0.94	-0.208	0.989	0.002	0.022	-0.165	0.167	-0.497	1.185	-0.6	0.638	0.008	-1.604	0.596	1.112	-0.398	0.222	-0.001	-0.501	1.32	0.739	-0.888	-0.979
IMAGE:328889	0.024	0.067	-0.329				0.092		0.208	-0.546	-0.399	-1.055	0.058	0.468	0.278	0.207	0.243	-0.024	-0.03	0.329	-1.125	-1.488	-0.428	-0.411
IMAGE:949939	0.199	0.542	-0.169	1.027	-0.617	0.456	-0.05	-0.191	0.297	0.159	-0.561	-0.301	0.387	0.708	-0.502	0.113	-0.049	-0.113	-0.385	0.049	-1.623	-2.088	0.217	0.11
IMAGE:295564	0.589	-0.436	-0.412	-0.356	0.642	-0.383	-0.239	0.653	-1.004	0.023	-1.077	0.322	0.131	-0.494	-0.539	-0.023	0.16	-0.043	0.508	0.551	0.188	-0.252	0.826	1.004
IMAGE:283919	0.166	-0.216	-0.34	0.646	-0.211	-0.248	0.087	-0.215	-0.382	1.392	-0.182	-0.248	0.547	0.626	1.375	1.103	-0.223	-0.578	-0.618	0.369	0.231	0.73	-0.087	0.183
IMAGE:113300	0.029	0.392	0.309	0.203	-0.431	0.498	-0.088			-0.006	-0.013	-1.115	0.255	0.572	-0.23	0.327	0.006	0.476	0.752	-0.154	-1.385	-1.737	-0.073	-0.076
IMAGE:731255	-0.24	-0.551	0.104	-0.093	0.386	-0.397	0.351	0.955	1.094	0.54	-0.049	0.68	-1.18	-1.639	0.132	0.818	0.682	-0.759	-0.843	-0.767	-0.773	-0.073	0.05	0.755
IMAGE:564981	-0.681	0.142	0.003	-0.761	-1.108	-0.44	0.147	0.529	0.168		-0.679	0.345	-0.176	1.657	-0.599	-0.677	-0.955	0	-0.604	-0.478	0.334	1.585	0.435	0.465
IMAGE:418192	0.575	1.008	0.047	-0.243	0.319	0.156	-0.044	-0.835	0.516	0.794	-1.139	-1.097	-0.027	0.787	-0.045	0.442	0.013	0.273	1.003	-0.156	-0.215	-0.674	-0.014	-0.24
IMAGE:296679	0.497	0.549	-0.262	0.319	-0.647	-0.413	0.677	-0.449	0.726		0.268	-1.232	0.043	-0.337	0.316	0.527	-1.476	-0.355	0.322	0.469	-1.672	-1.818	0	-0.697
IMAGE:509641	1.07	0.23	-0.52	-0.02	1.674	-0.219	0.68	0.274	-1.321	0.02	-0.253	-0.255	-0.563	-0.99	-0.13	0.646	-0.161	-0.816	-0.82	1.402	2.312	0.625	0.376	0.728
IMAGE:206370	0.493	0.288	0.599	-0.53	-0.522	-0.048	-0.357		0.437	0	0.079	-2.281	0.259	-1.018	0.105	0.178	-0.152	0.221	0.657	-0.729	0.107	-0.941	-0.375	-1.06
IMAGE:809611	-0.27	-0.109	0.104	-0.256		0.351	-0.075		-0.359	-0.967	-1.333	-0.111	0.18	-0.991	1.522		0.042	0.586	0	-0.32	3.006	3.459	0.226	0.197
IMAGE:461804	-0.071	0.126	-1.026	-0.137		1.692	0.113		-1.365	-0.254	0.072	-1.135	-0.305	-1.051	0.481	0.643	0.251	-0.301	-0.333	0.348	0.444	-0.282	0.901	1.14
IMAGE:813603	0.427	-0.115	0.253	-0.007	1.726	-0.236	0.228	0.132	-0.601	-0.513	-0.242	0.227	-0.365	-0.588	-0.095	0.662	0.383	-0.528	-0.551	0.476	2.58	1.5	-0.143	0.006
IMAGE:285226			0.048	-0.358	1.533	-0.209	-0.246	-0.059	0.403	-0.048	-0.495	0.82	-0.146	-0.099	-0.072	0.474	-0.095	0.195	0.214	0.128	1.271	1.156	0.333	-0.099
IMAGE:771258	0.745	-0.374	-1.129	0.208	1.542	-0.721		1.464	-1.38	1.007	1.367	-0.192	-0.306	0	-1.331	-0.529	1.065	-0.576	-2.248	1.011	0.85	0.323	-0.725	0.594
IMAGE:825740	-0.348	0.549	0.585	-0.042	-0.855	0.914	-0.557	-0.845	0.688	0.795	0.994	0.326	1.173	0.472	-0.281	0.451	0.223	-0.246	-0.083	-0.349	-2.016	-3.56	0.041	-0.079
IMAGE:742682	-0.006	-0.78	-0.041		0.006			0.708		-0.7	1.284	0.512	-0.194	0.211	-0.573	-0.303	-1.486	0.466	-0.43	0.174	0.867	1.375	0.099	-0.092
IMAGE:343867	0.483	0.257	-0.462	0.062	1.343	0	0.299	-0.016	-0.493	-0.229		0.956	-0.587	-0.679	-0.263	0.456	0.233	-0.162	-1.262	0.733	1.974	2.041	-0.536	-0.235
IMAGE:67741	0.505	0.254	-0.546	0.023		-0.669	0.294		1.431	-0.158	-1.037	-0.707	-0.123	-1.312	-0.399	0.506	0.37	-0.591	-0.023	0.292	1.826	1.138	0.318	-0.078
IMAGE:49499	0	0.151	-0.253	1.411	-0.717		0.429	0.198	-0.427	-0.083	-0.678	0.015	0.686	-0.36	0.088	0.083	0.354	0.026	-0.04	0.343	-1.439	-2.111	-0.645	-0.714
IMAGE:360025	-0.115	0.036	0.013	-0.627	1.038	-0.91	0.023	-0.012	-0.043	-1.637	0.972	-0.273	0.328	0.629	0.879	0.565	0.307	-0.296	-0.108	0.76	-0.856	-1.639	-0.062	0.225
IMAGE:293331	-0.124	0.248	0	-1.018	-1.092	-0.311	-0.463		1.305	-1.626	-0.925	0.025	-0.473	1.925	-0.561	-0.775	0.15	1.246	0.345	-0.153	0.316	3.012	0.896	0.791
IMAGE:141854	0.442	0.333	-0.462	0.041	0.854	-0.347	0.593	-0.258	-0.439	-1.109	-0.436	-0.491	-0.318	-0.445	-0.042	0.134	0.604	-0.612	-0.285	0.524	1.056	1.462	1.492	0.583
IMAGE:773335	-0.032	0.942	0.287	-0.832	0.273	-0.413	-0.288	-0.578	0.069	-0.508	-0.481	-0.356	0.079	1.152	-1.02		0.492	-0.256	-0.271	0.293	0	0.445	1.318	0.82
IMAGE:768246	-0.113	-0.066	-0.162	0.14	0.803	-0.633	-1.082		-1.115	-0.32	0.639	-0.807	0.204	-0.393	0.764	0.257	1.078	-0.477	-0.179	0.438	0.564	0.114	0	0.325
IMAGE:75644			-0.214	0.043	2.259	0.184	-0.173	0.737	-0.777	-0.202	0.067	2.289	-0.592	-0.229	-0.091	-0.108	0.528	0.562	-0.623	0	2.832		-0.097	0.066
IMAGE:154015	0.251	-1.42	-0.38	1.417	0.42	0.01	0.19	-0.708	-0.61	0.4	-0.15	-0.28	0.45	-0.41	0.06	0.155	0.83	0.336	-0.61	0.47	-0.01	-1.39	-0.09	-0.54
IMAGE:232714	0.609	0.838	0.612	0.42	-1.734	0.983	1.633	0.482	-0.054	-0.289	0.64	-0.428	1.381	0.068	0.054	0.539	-2.269	-0.477	-0.429	-0.548	-1.895	-2.394	-1.906	-1.895
IMAGE:188232	-0.088	-0.418	-0.347		1.55	-0.628	-0.044	0.339		-0.77	0.203	0.617	-0.233	-0.169	0.043	-0.202	-0.251	-0.071	0.402	0.109	2.13	1.413	1.738	0.877
IMAGE:812197		-0.522	-0.269	1.044	-0.144	0.455	0.269		-1.275	-0.91	0.811	0.184	0.058	-0.218	0.566		0	0.267	1.567	0.13	-0.693	-0.562	-0.382	-0.344
IMAGE:139558	-0.509	0.071			-1.537	-0.939	-0.875		0.453	0.528	0.262	-0.175	0.46	0.374	0.733	0.912	0.099	0	0.227	-0.032	-1.48	-2.81	-0.186	-0.387
IMAGE:203732	-1.07	-1.477	-0.226	0.64	0.703	0.414	0.193		-0.561	-0.62	0.524		1.355	0.775	-0.511		0.252	0.179	-1.182	0.48	0	-0.951	-1.468	-0.951
IMAGE:770014	0.219	-1.104	-1.073	0.478	0.307	-0.406	0.483	1.158	-0.15	0.947	0.687	-0.697	0.43	-0.256	0.15	0.704	0.487	-0.417	-0.936	0.763	-0.176	-1.982	-0.254	-0.197
IMAGE:281949	0.389	-0.186	-0.716	1.305	0.517		1.251		-0.562	0.239	-0.19	-0.267	0.296	-0.295	0.491	0.746	1.019		0	0.922	-0.33	-0.895	-0.096	-0.03
IMAGE:811149	-0.124	0	0.239	-0.432	1.34	-0.114	-0.706		0.037	-0.321	-0.034	-0.084	0.06	0.343	-0.157	-0.271	0.029	0.054	-0.041	-0.078	1.566	1.101	1.93	1.864
IMAGE:296483	0.061	-0.114	0.162	0.348	-1.452	-0.135	-0.185	-0.062	0.78	0.173	0.299	1.364	1.312	1.315	-0.215	-0.59	-0.064	1.153	0.916	0.199	-1.197	-2.059	-0.492	-1.164
IMAGE:81394	-2.429			-0.424	0.435	-0.624	-1.101	0.432	-1.795	0.001	-0.89	0.217	-0.822	-0.875	-0.08	0.3	0.538		0.267	-0.108	1.141	1.945	0	0.216
IMAGE:214990	0.034	-0.146	-0.587	-0.447	1.178	0.16	-0.257	-0.018	-1.143	-0.893	-0.825	1.415	-1.057	-0.357	0.019	0.74	0.18	-0.441	-0.998	0.104	0.871	0.995	0.345	0.587
IMAGE:487429	-0.247	0.289	0.378	-0.677	0.077	0.132	-0.794		-0.5	0	-0.553	-1.238	-0.164	0.624	0.739	-0.413	0.381	1.32	2.996	-0.219	-0.011	-0.432	0.247	0.251
IMAGE:272018	-0.097		1.043	0.355	-0.461	1.025	0	-0.472	0.665	-0.056	-0.224	-0.214	0.323		0.175		0.233	0.988	0.669	0.226	-0.845	-1.053	-0.314	-0.369
IMAGE:34849	0.189	0.354	-0.032	-0.503	-0.842		-0.225	-0.241	0.593	0.092	0.533	-1.112	-0.199	0.523	0.452	0.733	0.753	0	0.43	-0.033	-1.378	-2.335	-0.02	0.178
IMAGE:258860	-1.501	-1.243	-0.608	0.393	0.355	0	-0.481		-0.525	1.594	1.115	0.74	0.344	0.688	0.647	0.185	0.163	0.103	-0.049	-0.161	-0.595	-3.574	-0.382	-0.137
IMAGE:258120	0.428	-0.179	-0.338	0.463	0.078	-0.474	0.757	-1.433	0.001	0.491	0.689	-0.305	0.685	-1.371	0.572	1.098	-0.911	-0.024	0.17	0.412	-0.342	-0.002	-0.409	-0.515
IMAGE:322190	-0.364	0.37	-0.019	0.097		-0.165	0.019	0.098		-0.35		-0.35	-0.027		0.488	-0.204	0.198	0.234	1.034	0.061	-1.043	-2.019	-0.027	0.102
IMAGE:306484	0.1	-0.329	-0.229	0.626	-0.179	-0.517	0.161	-0.672	0.42	-1.343	0.766	0.25	0.201	-0.143	0.206	0.125	-0.811	0.029	0.142	0.123	-1.081	-1.289	-0.03	-0.213
IMAGE:789069	0.185	-1.576	-0.265	0.255	0.225	-1.584	-1.138	-0.634	-0.225	-0.79	-0.575	0.905	-1.438	0.425	-0.005	0.935	0.095	0.155	-0.045	0.005	-0.524	0.025	0.295	0.225
IMAGE:785930	0.338	-0.101	-0.137		1.034	-1.101	-0.723	1.118		-0.76	0.636	-0.086	-0.094	0.173	0.114	0.849	-0.498	-0.649	-0.369	0.085	0.774	0.49	-0.219	0.201
IMAGE:726678	0.23		0.332	0.344	-0.417	0.487	-0.203		-0.255	-0.545	-0.16	-1.118	0.747	-0.693	0.173	1.195	0.606	0.16	-0.165	0.601	-0.559	-1.401	0.241	-0.248
IMAGE:786504	-0.552	-0.274	0.024	-0.511	-1.002	-0.449	0.289	0.907	0.411	0.016	-0.439	0.778	-0.171	1.225	-0.294	0.199	-0.01	0.009	-0.022	-0.18	-1.001	0.279	0.325	0.115
IMAGE:530282	0.245	1.035	-0.112	0.659	0.105	-0.332	-0.36	-0.299	-0.108	0.034	-1.304	0.656	0.349	0.249	-0.613	0.301	-0.354	-0.05	-1.127	-0.025	0.214	-0.273	0.025	0.228
IMAGE:121551	-0.298	0.49	-0.074		0.692	0.273	0.103		-0.457	0	-0.059	-0.307	-1.021	-0.511	-0.121		-0.228	-0.695	0.28	0.068	1.059	0.016	2.467	2.381
IMAGE:144786	-0.379	-0.664	-0.472	-0.444	0.538	-0.586	0.212	-0.176	-0.409	-1.154	0.375	0.363	-0.874	0.828	-0.018	0.019	-0.646	0.419	1.082	-0.444	2.307	1.728	0.312	0.359
IMAGE:235934	0.414	-0.02	-0.107	0.458	0.523	-0.923	0.548	0.234	-0.933	-0.174	0.491	-0.206	-0.756	-1.166	0.008	0.305	-0.357	-0.453	-0.489	0.21	2.134	1.728	-0.007	0.033
IMAGE:840944	0.806	-0.36	0.838	-1.487	3.108	-0.539	-0.431	0.071	-0.294	-0.91	0.399	1.62	-0.206	-0.114	-0.6	1.504	-0.04	-0.241	1.408	0.092	0.178	0.039	1.345	-0.281
IMAGE:756488	-0.27	-0.334	-0.184	0.277	-0.285		-0.119	1.006	-0.099	-0.674	0.539	0.148		0.032	0.075	0.673	1.177	-0.096	-0.489	0.126	1.042	0.942	-0.19	-0.033
IMAGE:730353	1.121	0.462	-0.27	0.372	0.648	0.069	0.466	0	0.218		-0.18	-0.555	0.536	-0.928	-0.272	0.584	0.587	-0.297	-1.134	1.005	-0.489	-2.331	-0.115	-0.157
IMAGE:263200	-0.149	0.235	-0.082	0.094	0.08	-0.038	-0.604		-1.108	-0.149		-0.089	1.461	-0.266	1.726	-1.124	0	0.818	0.089	0.346		-0.565	0.533	0.191
IMAGE:205090	0.117	-0.633	0.089	1.175	-0.718	0.41		-0.353	-0.062	0.499	0.116	-0.712	0.469	0.89	0.083		-0.48	-0.155	0.403	-0.195	-1.014	-2.134	0.061	-0.398
IMAGE:207869	-0.131	0.828	0.207	0.025	-0.167	0.266	0.127	1.127	1.344		0.451		1.53	-0.472	-0.23	-0.666	0.027	1.093	-0.181	-0.393	-0.57	-0.024	-0.698	-0.5
IMAGE:795178	-1.068	-0.728	-0.009	-0.802	-0.363	-0.375		1.055	0.525	-0.902	0.813	0.009	1.84	0.895	0.475	-0.782	-1.532	-0.17		-0.26	0.337	0.434	0.618	0.483
IMAGE:51433	-0.754	-0.42	0.033	0.533	-1.035	0.316	0.324		0.426	0.268	-0.699	-0.408	0	-1.422	1.303		0.968	0.664	0.905		-0.308	-0.615	-0.299	-0.276
IMAGE:49963	0.396	0.534	0.002	0.434	0.025	0.155	0.299	-0.33	0.329	1.145	-0.731	-0.364	-0.235	-0.337	-0.002	0.459	-0.216	-0.028	0.298	0.056	-1.231	-2.262	-0.106	-0.369
IMAGE:45934	-0.584	-1.387		0.006	-0.782	0.928	0.033		0.498	0.88	0.372	0.574	-0.7	0.524	0.465	-0.563	0.485	0.072	-0.432	-0.006	-2.232	-3.694	-0.136	-0.273
IMAGE:128947	-1.78	-2.386		0.377	0.218	-0.668	-0.824	0.734	0.016	-0.736	0.086	-0.47	-0.158	1.174	0.488	-0.706	0.085	-0.128	0.219	0	-0.137	-0.62	0.02	0.221
IMAGE:236142	0.005	-0.186	-0.132	0.322	-0.786	-0.744	-0.558	0.166	1.201	0	-1.232	-0.53	-0.187	2.304	-0.901		0.28	0.067	1.015	-0.48	-0.285	1.386	1.009	0.84
IMAGE:812172	-0.064	0.333	0.197	0.217	-1.239		0.007		0.089	-0.361		-0.335	0	-0.094	0.321	0.523	0.083	0.317	0.16	-0.147	-1.678	-3.07	-0.345	-0.57
IMAGE:854581	0.37		1.268		-0.336		-0.181	-0.108	0.753	-2.317		-0.896	0.663	1.331	0.234	0.644	0.108	0.427	0.469	-0.154	-1.214	-3.129	-0.633	-0.741
IMAGE:265350	0.796	-0.564	-0.043	0.251	0.652	0.004	1.021	0.966		-0.005	-0.503	-0.22	0.401	-1.018	0.043	-0.135	0.451	0.021	-0.204	1.154	-0.884	-1.534	-0.08	
IMAGE:701751	-0.731	-0.35	-0.141	-1.201	-0.169	0.048	-0.004	1.316	1.546	0.003	1.793	0.639	-0.517	0.274	0.267	0.591	-1.221	0.862	1.384	1.003	-0.075	-0.617	-0.727	-0.265
IMAGE:81417	0.201	-0.469	-0.442	0.371	1.444	0.48	-0.75		-1.177	0.495		0.585	0.022	-0.809	-0.058	0.253	0.455	-0.219	-0.183		0	-1.009	-0.513	0.185
IMAGE:127458	-1.442	0.257	-0.056	1.079	-0.187	0.266	-0.051	-0.125		1.084	0.673	0.052	0.284	-0.215	0.06	-0.1	0.665	0.092		0.153	-0.407	-0.972	-0.431	-0.435
IMAGE:209655	0.968	1.059	-0.036	0.397	0.065	-0.269	-0.311	0.576	-0.101	0.31	0.254	-1.364	0.333	-0.021	-0.13	0.658	0.226	-0.265	0.099	0.021	-0.893	-2.469	-0.218	-0.182
IMAGE:595078	0.294	0.551	0.597	-0.687	-0.099	0.282		-0.736	-1.17	0.694	-0.448	-0.214	-0.795	0.287	0.417	-0.143	0.362	-1.047	-1.208	0	0.447	-0.749	2.013	2.256
IMAGE:142134	0.253	0.731	-0.145	-0.554	0.963	-0.234	-0.008		-0.364	0.121	-0.331	-0.052	0.007	-0.18	-0.434		0.345	-0.466	-1.291	0.434	3.081	3.481	0.565	0.473
IMAGE:269423	-0.605	-0.9	0	0.586	-1.705	0.059	-0.816	0.095	0.248	0.158	0.413	-0.362	0.063	-0.945	0.774	1.068	-1.698	0.202	0.092	-0.793	-2.647		-1.094	-1.445
IMAGE:809422	0.014	0.488	-0.129	-0.107	-0.717	0.37		-0.561	0.683	-0.513	0.338	-1.252	0.522	0.419	-0.6	0.438	-0.291	0.162	0.072	0	-1.887	-1.852	-0.155	0.02
IMAGE:811015	1.227	0.419			2.215	-0.307	-0.734		-0.255	-1.361	0.119	-0.933	-0.067	0.152	-0.319	1.465	0.692	0.37	1.381	0	-1.625	-1.194	0.763	-0.815
IMAGE:1555287	0.339	-0.026	-1.035		0.3	1.093	0.211		-1.076	-0.212		-0.024	-0.878	-0.834	0.025	0.473	0.678		0.057	-0.461	-0.426	-1.861	0.419	0.612
IMAGE:358531	1.08	-0.129	0.51	-0.18	3.02	-0.59	-0.919	0.22	-0.1	-0.6	0.53	1.42	-0.45	-0.12	-0.74	0.5	-0.23	0.1	0.1	-0.28	0.94	0.96	0.1	-0.33
IMAGE:325247	-0.202	0	-0.036	0.118	0.53	-1.201	-1.196	0.956		-0.803	0.483	-0.295	-0.162	-0.783	-0.178	0.255	0.022	-0.742	-0.398	0.02	1.557	1.258	2.885	2.078
IMAGE:131984	0.389	0.187	-0.384	-0.107	-0.91	0	-0.043	-0.558	0.755	-1.164		-1.847	-0.144	1.988	0.859	1.269	0.511	0.409	0.976	0.1	-0.539	-1.933	-0.182	0.063
IMAGE:323988	0.057	0.193	-0.057	0.26	-0.96	-0.737	-0.129	-0.351	1.102	0.07	-0.124	0.294	0.231	-0.123	0.587	0.974	0.462	0.271	0.437	-0.152	-1.889	-3.398	-0.458	-0.685
IMAGE:501674	-0.162	-0.061		1.65		0.311	-0.724		0.266		-0.826	2.168	-0.066	-0.75	1.353	0.813	0.088	0.202	-0.278	-0.202	-0.803	-1.405	0.062	0.252
IMAGE:739183	0.544	-0.033	-1.019	-0.155	0.755	-0.405	0.417	0.021	-0.98	0.081	-0.446	0.003	-0.495	-0.003	-0.425	0.346	0.376	-0.79	-0.36	0.61	1.28	1.133	-0.387	0.002
IMAGE:686172	-0.893	-0.232	-0.512	-0.673	0.539	-1.664	-0.301	-0.046	0	-0.094	0.762	0.075	-0.466	1.511	0.08		-0.08	0.155	-0.184	0.737	0.451	1.201	0.712	0.854
IMAGE:544502	0.422	0.199	-0.146	-0.297	1.624	-0.223	-0.558		-1.189	-0.412	0.421	0.502	-0.104		-0.289	-0.827	0.558	-0.326	-0.494	0.493	3.833	1.853	0.103	0.528
IMAGE:249949	0.201	-1.165		0.066	1.684	-0.403	0.082		-1.277	-0.403	0.091	-0.065	1.054	0.263	-0.663	-0.725	0.429	-0.33	-1.165	1.112	2.088	1.755	-0.863	-0.594
IMAGE:52222	0.127	0.189	-0.293	-0.368	1.015	0.194	-0.46		-0.502	-0.367		-0.477	-0.013	-0.201	0.012	0.142	0.235	0.316	-0.046	-0.174	0.656	-1.049	2.941	2.757
IMAGE:126795	-0.561	-1.378	-0.448	-0.053	-0.089	-1.193			-1.124		1.56	0.542	0.162	-0.653	0.795	0.252	-0.813	-0.306	0.146	0.222	0.567	0.578	0.127	0
IMAGE:489079	0.549	0.041	-0.1	-0.08		-0.8	0.835	-0.272	-0.329	-0.22	-0.674	0.014	0.319	-0.049	-0.287	4.572	0	0.078	-0.32	1.236	0.655	-0.523	1.011	0.965
IMAGE:610012	1.059	-0.369	-0.13	0.448	0.563	-0.098	1.247	0.434	-0.272	0.162	-0.176	0.082	1.175	0.006	-0.041	-0.307	0.42	-0.212	-0.319	0.989	-0.598	-0.716	-0.005	0.044
IMAGE:842847	-0.049	0.247	0.306	0.394	-0.553	0.042		0.169	1.059	0.349	-0.101	-0.204	0.493	-0.348	0.181	0.603	0	-0.157	0.104	-0.131	-1.097	-1.176	-0.138	-0.331
IMAGE:878815	0.211	0.88	-0.033	0.314	-0.821		-0.288	-0.096	0.68	-0.52		-1.407	0.033	0.501	-0.357	0.288	0.282	0.553	0.379	-0.352	-1.144	-1.899	0.127	-0.137
IMAGE:811918	0.159	0.158	-0.287	0.242	0.967	-0.083	0		-1.159	-0.34	-0.267	-0.841	-0.527	-0.881	0.606	0.111	-0.146	0.029	1.07	-0.107	1.209	0.053	-0.162	0.251
